ID;Раздел;Проверка;Приоритет;Статус
CH-001;Авторизация;Вход с корректными учетными данными;Высокий;Пройден
CH-002;Авторизация;Вход с неверным логином;Высокий;Не пройден
CH-003;Авторизация;Вход с неверным паролем;Высокий;Не пройден
CH-004;Авторизация;Вход с пустыми полями;Средний;Пройден
CH-005;Авторизация;Вход только с заполненным логином;Средний;Не выполнен
CH-006;Авторизация;Вход только с заполненным паролем;Средний;Не выполнен
CH-007;Авторизация;Сохранение пользовательской сессии после повторного запуска приложения;Высокий;Пройден
CH-008;Авторизация;Выход из учетной записи через меню пользователя;Высокий;Пройден
CH-009;Главный экран;Отображение списка новостей;Высокий;Пройден
CH-010;Главный экран;Отображение даты публикации новости;Средний;Пройден
CH-011;Главный экран;Разворачивание карточки новости;Высокий;Пройден
CH-012;Главный экран;Сворачивание карточки новости;Средний;Пройден
CH-013;Главное меню;Открытие бокового меню;Высокий;Пройден
CH-014;Главное меню;Переход в раздел Main;Средний;Пройден
CH-015;Главное меню;Переход в раздел News;Высокий;Пройден
CH-016;Love is all;Открытие раздела Love is all;Средний;Пройден
CH-017;Love is all;Отображение списка цитат;Средний;Пройден
CH-018;Love is all;Прокрутка списка цитат;Низкий;Пройден
CH-019;Love is all;Разворачивание цитаты;Средний;Пройден
CH-020;Love is all;Сворачивание цитаты;Низкий;Пройден
CH-021;News;Отображение списка новостей;Высокий;Пройден
CH-022;News;Сортировка новостей;Средний;Пройден
CH-023;News;Открытие окна фильтрации;Высокий;Пройден
CH-024;News;Выбор категории новости;Средний;Пройден
CH-025;News;Выбор даты начала периода;Средний;Пройден
CH-026;News;Выбор даты окончания периода;Средний;Пройден
CH-027;News;Применение фильтра;Высокий;Пройден
CH-028;News;Отмена фильтра;Средний;Пройден
CH-029;Control Panel;Открытие панели управления новостями;Высокий;Пройден
CH-030;Control Panel;Отображение данных новости;Высокий;Пройден
CH-031;Control Panel;Сортировка новостей;Средний;Пройден
CH-032;Control Panel;Фильтрация новостей;Средний;Пройден
CH-033;Control Panel;Открытие формы создания новости;Высокий;Пройден
CH-034;Control Panel;Создание новости с корректными данными;Высокий;Пройден
CH-035;Control Panel;Создание новости без категории;Высокий;Пройден
CH-036;Control Panel;Создание новости без заголовка;Высокий;Пройден
CH-037;Control Panel;Создание новости без даты публикации;Высокий;Пройден
CH-038;Control Panel;Создание новости без времени публикации;Высокий;Пройден
CH-039;Control Panel;Создание новости без описания;Высокий;Пройден
CH-040;Control Panel;Работа переключателя Active;Высокий;Пройден
CH-041;Control Panel;Сохранение новой новости;Высокий;Пройден
CH-042;Control Panel;Отмена создания новости;Средний;Пройден
CH-043;Control Panel;Открытие формы редактирования новости;Высокий;Пройден
CH-044;Control Panel;Изменение категории новости;Средний;Не выполнен
CH-045;Control Panel;Изменение заголовка новости;Высокий;Не выполнен
CH-046;Control Panel;Изменение даты публикации;Средний;Не выполнен
CH-047;Control Panel;Изменение времени публикации;Средний;Не выполнен
CH-048;Control Panel;Изменение описания новости;Высокий;Не выполнен
CH-049;Control Panel;Сохранение изменений;Высокий;Пройден
CH-050;Control Panel;Удаление новости;Высокий;Пройден
CH-051;Control Panel;Отмена удаления новости;Средний;Пройден
CH-052;Control Panel;Подтверждение удаления новости;Высокий;Пройден
CH-053;Control Panel;Отмена редактирования новости;Средний;Пройден
CH-054;Control Panel;Подтверждение выхода из редактирования новости;Средний;Не выполнен
CH-055;Control Panel;Сохранение изменений при редактировании новости;Высокий;Пройден
CH-056;Control Panel;Отмена выхода из формы создания новости;Средний;Пройден
CH-057;Control Panel;Подтверждение выхода из формы создания новости;Средний;Пройден
CH-058;Control Panel;Деактивация новости;Высокий;Пройден
CH-059;Control Panel;Отображение статуса NOT ACTIVE;Высокий;Пройден
